row_id,target_curve_twist_tail_next,slice_high_rate_vol
1110799861737949878,0,0
816223249159502942,0,0
672925646895503649,0,0
1112625618218433577,0,0
1091411594404916754,0,0
208060981890901010,0,1
907867497271478877,0,0
923884886812791711,1,0
1050559324310287252,0,1
666566339418405453,0,0
735058460884978804,0,0
385276174171070619,0,0
939727572731790508,1,1
540119948428515811,0,0
473140132819092071,1,0
66357186485865908,0,0
167892800732011728,1,1
688674096090065444,0,0
714256558915037507,0,1
235246153564035974,0,0
284065983593419549,0,0
344571495922303019,0,0
614638624777847689,0,0
428843592694795468,0,0
805629212557227399,0,0
97198146540309390,0,0
256185572641496521,1,0
475358102490876394,0,0
937527779623514810,0,0
176525301013609927,0,0
650237873009626937,0,0
619518441403710668,0,0
1008222005640650177,0,0
230638255800839496,0,0
1059285821556918731,0,0
957538910516229294,0,0
986017558907179449,0,0
1078900925145381583,0,0
671108056385025062,0,0
987127635267196873,0,0
319309091772172834,1,0
700291755201320948,1,0
653235432053283149,0,1
386386461522189719,0,0
11569937918873825,0,0
299385875753465599,0,0
158312006830241029,0,0
355137300066838522,0,0
557839561942078328,0,0
807886323738837099,0,0
617269179336738745,0,0
1108846248785049204,0,0
367397460681213210,0,0
989321267597295296,0,0
464254728321988978,0,0
1013851212836257320,0,0
122453601341491543,1,1
47649398401863267,0,0
606689468129620001,0,0
682920823384063602,0,0
298136806607336729,0,0
941533191979627636,1,0
2059047609607113,0,0
643040050597316689,0,0
1036760625173554601,0,0
467791013535960063,0,1
443768340903602715,0,0
238261059291761525,0,0
155673229480545377,0,1
563409993034993165,1,0
378937067911271147,0,1
241406034098366172,0,0
757850043080601828,0,0
227536196823391761,0,0
243834227773400885,0,0
1052442297003706865,1,1
356071237700197061,0,0
128221950142124556,0,0
379011192613586381,1,0
899029402646055105,0,0
762376744858576499,1,0
1091751683258253770,0,0
678782258638262322,0,0
973681053028382008,0,0
307211215051274508,0,0
651701266827872483,0,0
118078043993274072,0,0
634758519767296702,0,0
379121284104575160,1,0
1097112009123545205,0,0
519463768271531691,0,0
589122543836118537,0,0
215520371769583558,0,1
1129644035866041481,0,0
319565392521267705,0,0
775191418620310545,0,0
783614015279779922,0,0
77525097844176974,0,1
61752372041207601,0,0
737620722068464277,0,0
1031955923768313877,0,0
503429762426580258,0,1
924784201149411198,1,0
372443624300705251,0,0
191030445420350023,0,0
228323387408609541,0,0
246300799334786738,0,0
1083070131367531189,0,0
249800671982631507,0,0
72464855824204982,0,0
1118230966785647489,1,0
76824920683269159,0,0
328075097530516215,0,1
247138366587849403,0,1
958518756642153948,0,0
359590830302022834,0,0
908267892503747583,0,0
822158344421657874,0,0
518259276214138360,0,0
742569958500318454,0,0
597064781267820047,0,0
691343858491389779,1,1
1142012344432765720,0,0
939574836528178602,0,0
1031459314768462227,0,0
824521975293930440,1,1
547723854083858626,0,0
131812371927303282,0,0
786567693425633947,0,0
965287948950998145,0,0
923697918248670801,0,0
233393148525555519,0,0
554641141612960604,0,0
998691224822185959,0,0
883632770750261562,0,0
62507574010362488,0,0
694035401651898470,0,0
21187335740221039,1,0
190559439671401075,0,0
241372357541486615,0,0
605280676773499020,0,0
1050177488924100770,0,0
929961196767745985,0,0
755259826180029327,0,0
17902448962747810,0,0
1043412147736647126,1,0
647766644362944363,0,0
985513416675836198,0,0
470141906013585950,0,0
396226461351906155,0,0
686271570115841401,0,0
52957850158384533,0,0
142579057524431003,0,1
221494062023358442,0,0
1048433454638611130,0,0
671419451769965184,1,0
963225356045374869,0,0
34299504583762907,0,0
1093040839760513465,0,0
202960658615581465,0,0
123416075614649995,1,0
529915498245154036,0,0
366828471075067362,0,0
490077805321612868,0,1
130873533590878710,1,1
1116800088287816696,0,0
1015598757572079100,0,0
8050406272844119,0,1
1122482588183857427,0,1
703814618372663929,0,0
239930586903990620,0,0
893657704113532554,0,0
487195685774633550,0,0
193355178560531911,0,0
970045772053611961,0,0
927757775678635010,0,0
767838203089509320,0,0
1100956662688751798,0,0
579617757008492438,0,0
982431784345291356,1,0
944246283351295002,0,0
709755359132299224,0,0
1068004122231329785,0,0
957587405250758413,0,0
664080423992454454,0,0
541960812217174470,0,0
437086453429698272,0,0
717499816796385172,0,0
611875254659853906,0,0
374437869545768884,0,0
254990181429010434,0,0
871274017473191347,1,0
980895017489792568,1,0
952685980130590792,0,0
237952435104874675,0,0
983729218491098074,0,0
770308204744331742,0,1
363785419683553484,0,0
728202321654854710,0,0
489925730160227735,1,1
602940906753854914,0,0
646867070786369873,0,0
1076557376798632199,0,0
923562020382886248,0,0
640976438456233209,0,0
45759305731833651,0,0
706513974770315184,0,0
188506028803181371,0,0
302431781434386201,0,0
352396529706025743,0,0
610417368708983525,0,0
608361707758885633,0,1
729665335963426259,0,0
543013427751573816,0,0
202465561007684331,0,0
101552371018999967,0,1
945224945967107513,0,0
1017291781521047060,0,0
1039981159714825050,0,0
758845433018377385,0,0
798447281525003725,0,0
171416851562187556,0,0
613134617309781849,0,0
741937138565946918,1,1
1138069826197451123,0,0
513007436827068040,0,0
110067988521183830,0,0
969607075785736501,0,0
176358858005588958,0,0
121648105319372031,0,0
